time,iqs,ids,torque,rpm,vqs,vds
0.483,14.218206,-20.395664,-5.3252473,-1655.1211,179.62924,0.0
0.48400003,14.227387,-20.403008,-5.316436,-1653.6748,179.62924,0.0
0.485,14.210476,-20.40815,-5.384935,-1673.0594,179.62924,0.0
0.48600003,14.183753,-20.396042,-5.343242,-1664.6085,179.62924,0.0
0.48700002,14.197779,-20.388426,-5.3830714,-1666.2461,179.62924,0.0
0.48800004,14.196009,-20.403515,-5.3960376,-1666.0714,179.62924,0.0
0.48900002,14.218078,-20.405317,-5.329561,-1674.2211,179.62924,0.0
0.49,14.1791725,-20.405848,-5.3275776,-1665.8636,179.62924,0.0
0.49100003,14.217201,-20.426682,-5.3226542,-1674.778,179.62924,0.0
0.492,14.201947,-20.425766,-5.3362536,-1675.9028,179.62924,0.0
0.49300003,14.179124,-20.415136,-5.3546205,-1679.8865,179.62924,0.0
0.49400002,14.217191,-20.423992,-5.3004284,-1688.4468,179.62924,0.0
0.49500003,14.183328,-20.410223,-5.3545046,-1687.4835,179.62924,0.0
0.49600002,14.180275,-20.435482,-5.317904,-1687.7526,179.62924,0.0
0.497,14.1947775,-20.442123,-5.337967,-1688.7445,179.62924,0.0
0.49800003,14.179737,-20.434563,-5.3556967,-1694.0687,179.62924,0.0
0.499,14.189309,-20.421803,-5.3056803,-1709.7104,179.62924,0.0
0.5,14.195112,-20.430069,-5.313648,-1700.3646,179.62924,0.0
0.501,14.179911,-20.429146,-5.304316,-1706.124,179.62924,0.0
0.502,14.1738825,-20.449295,-5.3174586,-1700.8527,179.62924,0.0
0.50299996,14.214294,-20.454554,-5.327252,-1708.1718,179.62924,0.0
0.504,14.172795,-20.445005,-5.276044,-1710.3984,179.62924,0.0
0.505,14.232885,-20.459692,-5.3081884,-1699.8998,179.62924,0.0
0.506,14.169966,-20.457708,-5.2757435,-1721.5353,179.62924,0.0
0.50699997,14.194605,-20.47414,-5.288168,-1717.1777,179.62924,0.0
0.508,14.168787,-20.449007,-5.2334933,-1730.1223,179.62924,0.0
0.509,14.213235,-20.462236,-5.268383,-1726.073,179.62924,0.0
0.51,14.173667,-20.474617,-5.240143,-1727.5215,179.62924,0.0
0.511,14.158951,-20.46945,-5.225528,-1737.126,179.62924,0.0
0.51199996,14.184439,-20.489056,-5.282501,-1736.249,179.62924,0.0
0.513,14.185583,-20.479618,-5.2703466,-1734.0284,179.62924,0.0
0.514,14.160444,-20.481888,-5.243902,-1729.3523,179.62924,0.0
0.515,14.169839,-20.470665,-5.2655115,-1745.5906,179.62924,0.0
0.516,14.192241,-20.491844,-5.30698,-1756.7412,179.62924,0.0
0.517,14.187388,-20.51903,-5.272398,-1741.4244,179.62924,0.0
0.518,14.18307,-20.51589,-5.2578373,-1760.881,179.62924,0.0
0.519,14.203132,-20.511625,-5.271419,-1750.8822,179.62924,0.0
0.52,14.184117,-20.49677,-5.2564597,-1748.3561,179.62924,0.0
0.52099997,14.154709,-20.498423,-5.2193413,-1773.1556,179.62924,0.0
0.522,14.165737,-20.498003,-5.2103515,-1768.8336,179.62924,0.0
0.523,14.147214,-20.491888,-5.2289214,-1769.2007,179.62924,0.0
0.524,14.149483,-20.527792,-5.2518725,-1773.9994,179.62924,0.0
0.525,14.162037,-20.488813,-5.1910424,-1770.7194,179.62924,0.0
0.52599996,14.160696,-20.51127,-5.19209,-1761.43,179.62924,0.0
0.527,14.170748,-20.515427,-5.169786,-1764.3413,179.62924,0.0
0.528,14.178229,-20.52323,-5.2459617,-1777.9781,179.62924,0.0
0.529,14.183549,-20.512175,-5.197643,-1759.9109,179.62924,0.0
0.53,14.177551,-20.515875,-5.245873,-1776.3718,179.62924,0.0
0.531,14.1394825,-20.547102,-5.1694064,-1777.32,179.62924,0.0
0.532,14.140035,-20.507986,-5.2611885,-1785.8488,179.62924,0.0
0.533,14.141443,-20.506819,-5.183502,-1771.8085,179.62924,0.0
0.534,14.1431265,-20.521265,-5.211156,-1781.0717,179.62924,0.0
0.53499997,14.164339,-20.527218,-5.185758,-1808.9202,179.62924,0.0
0.536,14.153201,-20.556473,-5.1995063,-1804.6779,179.62924,0.0
0.537,14.178717,-20.53898,-5.14689,-1799.5697,179.62924,0.0
0.538,14.164448,-20.564367,-5.169201,-1800.939,179.62924,0.0
0.539,14.153207,-20.592392,-5.2341805,-1794.2161,179.62924,0.0
0.53999996,14.158893,-20.543926,-5.1345553,-1806.1371,179.62924,0.0
0.541,14.150184,-20.554771,-5.219158,-1812.2689,179.62924,0.0
0.542,14.164883,-20.541433,-5.1691084,-1805.4467,179.62924,0.0
0.543,14.137283,-20.566936,-5.192199,-1810.2809,179.62924,0.0
0.54399997,14.118313,-20.573456,-5.143576,-1822.1613,179.62924,0.0
0.545,14.14298,-20.532719,-5.10899,-1819.8824,179.62924,0.0
0.546,14.149322,-20.541035,-5.174066,-1823.0974,179.62924,0.0
0.547,14.141695,-20.573484,-5.205457,-1833.506,179.62924,0.0
0.548,14.140849,-20.579966,-5.191187,-1821.5668,179.62924,0.0
0.54899997,14.147649,-20.560074,-5.152003,-1828.8772,179.62924,0.0
0.55,14.120586,-20.570286,-5.124297,-1836.9935,179.62924,0.0
0.551,14.123967,-20.574804,-5.1607485,-1833.9362,179.62924,0.0
0.552,14.156955,-20.578978,-5.1097274,-1843.5148,179.62924,0.0
